"","FIPS","county","state","met_obj_reduction","age_adj_deathrate","population","smokers","obesity","food_env_index","exercise","overcrowding","diabetics","insuf_sleep","traffic_vol","above_65","rural_pop","is_urban"
"1",21193,"Perry","Kentucky","No",125.6,25758,24.53343114,41,7.3,78.8450822,3.295711061,16,40.85610493,61.97002672,16.97455159,74.07355809,0
"2",21197,"Powell","Kentucky","No",125.3,12359,23.91649382,32.6,7.5,86.37120431,2.815432742,17.6,39.07085986,36.79663183,15.87365375,67.10536748,0
"3",2185,"North Slope Borough","Alaska","No",124.9,9832,23.85108657,40.1,6.9,100,29.95049505,7.6,33.56203351,10.14189516,6.81726094,59.33191941,0
"4",21189,"Owsley","Kentucky","No",118.5,4415,26.14039312,46.3,6.9,86.68769716,2.380952381,11.4,39.8037822,1.385804179,19.61091234,100,0
"5",12125,"Union","Florida","No",113.5,15237,23.26413847,36.9,6.5,21.62214355,2.313624679,13.8,38.70558137,11.57455579,14.97322624,67.44769875,0
"6",21147,"McCreary","Kentucky","No",111.1,17231,31.8776999,39.8,6.6,100,1.68,14.3,43.1111271,24.6944757,16.04434743,100,0
"7",21131,"Leslie","Kentucky","No",110.3,9877,25.68166175,41.4,6.7,100,2.061349693,15.8,37.60715556,7.197755959,17.92369122,100,0
"8",21159,"Martin","Kentucky","No",109.1,11195,25.28783013,40.5,7.2,48.90556114,2.793946449,15.5,42.78235203,7.736314007,16.61220525,100,0
"9",21165,"Menifee","Kentucky","No",106,6489,21.25887611,32.9,7.8,84.23723438,1.111111111,22.9,40.15672628,7.144495953,20.97349248,100,0
"10",21109,"Jackson","Kentucky","No",104.6,13329,26.50872282,43.5,7.1,72.13576404,1.532912534,17.5,40.53916383,8.339641143,17.2370183,100,0
"11",5111,"Poinsett","Arkansas","No",103.5,23528,21.81181141,41.7,5.7,33.836391,4.223864836,20.9,34.90955339,50.6782868,17.9194127,71.13859171,0
"12",47139,"Polk","Tennessee","No",103.3,16832,21.86348332,34.4,8.4,73.38484398,2.9563932,16,35.53379171,29.68109974,20.9728962,100,0
"13",21071,"Floyd","Kentucky","No",98.7,35589,24.81965808,41.3,6.9,47.59068211,1.936330817,16.8,44.46028999,47.38216558,18.37913238,83.87113128,0
"14",21045,"Casey","Kentucky","No",98.5,16159,26.44768153,34.8,7.6,0,1.326053042,14.2,39.63687983,16.12670619,20.12210473,100,0
